EPA_ID,SITE_NAME,CITY,COUNTY,STATE,ZIP_CODE,LATITUDE,LONGITUDE,STATUS,LISTED_DATE,DELETED_DATE,CONTAMINANTS,EPA_URL
CTD001153923,LINEMASTER SWITCH CORP.,WOODSTOCK,WINDHAM,CT,06281,41.940561,-71.966939,Final,,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD001153923
CTD001186618,"RAYMARK INDUSTRIES, INC.",STRATFORD,FAIRFIELD,CT,06614,41.201278,-73.117222,Final,1981-01-01,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD001186618
CTD001452093,DURHAM MEADOWS,DURHAM,MIDDLESEX,CT,06422,41.48111,-72.681388,Final,1981-01-01,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD001452093
CTD009717604,SOLVENTS RECOVERY SERVICE OF NEW ENGLAND,SOUTHINGTON,HARTFORD,CT,06489,41.6196,-72.878,Final,1979-07-01,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD009717604
CTD009774969,YAWORSKI WASTE LAGOON,CANTERBURY,WINDHAM,CT,06331,41.66945,-71.964161,Final,,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD009774969
CTD051316313,PRECISION PLATING CORP.,VERNON,TOLLAND,CT,06066-4413,41.84975,-72.447911,Final,,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD051316313
CTD072122062,BEACON HEIGHTS LANDFILL,BEACON FALLS,NEW HAVEN,CT,06403,41.43195,-73.035281,Final,,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD072122062
CTD108960972,GALLUP'S QUARRY,PLAINFIELD,WINDHAM,CT,06374,41.665281,-71.924161,Final,,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD108960972
CTD980521165,"LAUREL PARK, INC.",NAUGATUCK BOROUGH,NEW HAVEN,CT,06770,41.476939,-73.071661,Final,,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD980521165
CTD980670814,KELLOGG-DEERING WELL FIELD,NORWALK,FAIRFIELD,CT,06856,41.13055,-73.43195,Final,,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD980670814
CTD980732333,BARKHAMSTED-NEW HARTFORD LANDFILL,BARKHAMSTED,LITCHFIELD,CT,06063,41.893947,-72.989337,Final,,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD980732333
CTD980906515,NEW LONDON SUBMARINE BASE,NEW LONDON,NEW LONDON,CT,06349,41.400139,-72.087081,Final,1982-06-01,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=CTD980906515
MAD000192393,SILRESIM CHEMICAL CORP.,LOWELL,MIDDLESEX,MA,01853,42.628889,-71.313889,Final,1978-01-01,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=MAD000192393
MAD001002252,"W.R. GRACE & CO., INC. (ACTON PLANT)",ACTON,MIDDLESEX,MA,01720,42.45055,-71.427781,Final,,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=MAD001002252
MAD001026319,ATLAS TACK CORP.,FAIRHAVEN,BRISTOL,MA,02719,41.635561,-70.89445,Final,1980-11-01,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=MAD001026319
MAD001031574,CREESE & COOK TANNERY (FORMER),DANVERS,ESSEX,MA,01923,42.553111,-70.926722,Final,1979-12-01,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=MAD001031574
MAD001041987,BAIRD & MCGUIRE,HOLBROOK,NORFOLK,MA,02343,42.149719,-71.028611,Final,1982-03-01,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=MAD001041987
MAD001197755,WALTON & LONSBURY INC.,ATTLEBORO,BRISTOL,MA,02703,41.957778,-71.296944,Final,1981-06-01,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=MAD001197755
