ZCTA5,LAT,LNG,STATE_USPS
00601,18.180555,-66.749961,
00602,18.361945,-67.175597,
00603,18.455183,-67.119887,
00606,18.158327,-66.932928,
00610,18.294032,-67.127156,
00612,18.402253,-66.711397,
00616,18.420412,-66.671979,
00617,18.447538,-66.557681,
00622,17.991245,-67.153993,
00623,18.083044,-67.154179,
00624,18.064909,-66.716662,
00627,18.412507,-66.863811,
00631,18.190607,-66.832041,
00637,18.076716,-66.947362,
00638,18.295913,-66.515588,
00641,18.263097,-66.712963,
00646,18.43511,-66.281058,
00647,17.963613,-66.947127,
00650,18.349103,-66.578175,
00652,18.44844,-66.59411,
00653,17.985045,-66.886546,
00656,18.053539,-66.792931,
00659,18.406773,-66.809288,
00660,18.134695,-67.116199,
00662,18.468301,-67.015749,
00664,18.21033,-66.591616,
00667,18.003422,-67.03581,
00669,18.276925,-66.869587,
00670,18.240187,-66.988776,
00674,18.422908,-66.489337,
00676,18.377637,-67.079574,
00677,18.332568,-67.227022,
00678,18.434124,-66.927426,
00680,18.182055,-67.132502,
00682,18.221464,-67.156039,
00683,18.1078,-67.037263,
00685,18.332929,-66.959689,
00687,18.318017,-66.420392,
00688,18.382311,-66.626416,
00690,18.49551,-67.098671,
00692,18.410188,-66.336556,
00693,18.42146,-66.398604,
00694,18.483127,-66.39236,
00698,18.064848,-66.856319,
00703,18.248401,-66.130662,
00704,17.965884,-66.219633,
00705,18.12896,-66.266691,
00707,18.014055,-65.920751,
00714,18.003025,-66.046237,
00715,18.011233,-66.560065,
00716,17.991269,-66.606774,
00717,18.003222,-66.614037,
00718,18.231988,-65.759623,
00719,18.28992,-66.25344,
00720,18.217946,-66.428076,
00723,18.043498,-66.015479,
00725,18.218594,-66.042637,
00727,18.215308,-66.073565,
00728,17.989853,-66.664116,
00729,18.330044,-65.886021,
00730,18.030831,-66.616838,
00731,18.109947,-66.635622,
00735,18.252603,-65.682494,
00736,18.103624,-66.151667,
00738,18.304458,-65.698711,
00739,18.177233,-66.160645,
00740,18.331178,-65.634104,
00741,18.163855,-65.754042,
00745,18.352216,-65.817387,
00751,18.001317,-66.252183,
00754,18.147107,-65.976167,
00757,17.995441,-66.391334,
00765,18.130096,-65.439369,
00766,18.133197,-66.476659,
00767,18.069489,-65.896029,
00769,18.1038,-66.357586,
00771,18.187148,-65.871189,
00772,18.438944,-65.90522,
00773,18.342888,-65.723109,
00775,18.326608,-65.307769,
00777,18.224133,-65.908542,
00778,18.264076,-65.97851,
00780,18.102834,-66.568105,
00782,18.225708,-66.221633,
00783,18.30391,-66.326179,
00784,18.010714,-66.133615,
00786,18.155424,-66.229907,
00791,18.136782,-65.821476,
00794,18.200018,-66.309282,
00795,18.060494,-66.500624,
00801,18.349806,-64.974001,
00802,18.340634,-64.923178,
00820,17.7431,-64.686556,
00823,17.723548,-64.745932,
00824,17.744557,-64.682933,
00830,18.338559,-64.73653,
00831,18.327293,-64.786717,
00840,17.747872,-64.880695,
00841,17.768135,-64.807852,
00850,17.705254,-64.752557,
00851,17.732228,-64.77076,
00901,18.465369,-66.104613,
00906,18.46446,-66.094995,
00907,18.452553,-66.077838,
00909,18.44161,-66.067132,
00911,18.451159,-66.056199,
00912,18.445334,-66.060139,
00913,18.450002,-66.042656,
00915,18.437179,-66.045571,
00917,18.420674,-66.050105,
00918,18.421022,-66.065789,
00920,18.414292,-66.088042,
00921,18.392294,-66.088528,
00923,18.409029,-66.038586,
00924,18.398126,-66.012592,
00925,18.400296,-66.050602,
00926,18.345414,-66.051502,
00927,18.388011,-66.072089,
00934,18.411313,-66.124234,
